city,high,low,measurement,midnight,pollutant,site,year
London,18.30335275773006,20.640990850182927,µg/m3,21.821168708312886,PM10,Station_GB0620A,2016.0
London,20.65249266536657,17.510204078542277,µg/m3,20.07034883389535,PM10,Station_GB0636A,2016.0
London,26.618443800317003,21.60256409903134,µg/m3,25.170857139600002,PM10,Station_GB0682A,2016.0
London,,,µg/m3,14.31924615123077,PM10,Station_GB0620A,2016.0
London,,,µg/m3,25.42763636057851,PM10,Station_GB0682A,2016.0
London,23.643529408500005,20.37464387088319,µg/m3,22.70028489709402,PM10,Station_GB1012A,2016.0
London,27.999686516489028,23.025825822702704,µg/m3,25.871601205015104,PM10,Station_GB1033A,2016.0
London,18.809374996818182,19.02808988480337,µg/m3,20.06807909276836,PM10,Station_GB0566A,2016.0
London,14.420488742218648,17.332697157886436,µg/m3,18.225772149082278,PM10,Station_GB0620A,2017.0
London,20.58379204562691,16.67661538123077,µg/m3,19.309509198496933,PM10,Station_GB0636A,2017.0
London,24.37414772375001,19.641242934887007,µg/m3,23.304558400427354,PM10,Station_GB0682A,2017.0
London,,,µg/m3,25.18540668189415,PM10,Station_GB0682A,2017.0
London,21.433734936656627,18.859939755843374,µg/m3,21.500302110906347,PM10,Station_GB1012A,2017.0
London,27.51681159026087,20.170538240339944,µg/m3,22.48689458367522,PM10,Station_GB1033A,2017.0
London,16.23873836895349,15.895477007614943,µg/m3,17.479908042500004,PM10,Station_GB0566A,2017.0
London,12.854041092630135,14.040136983013698,µg/m3,14.406301366520548,PM10,Station_GB0620A,2018.0
London,20.31553671974576,17.715536719915253,µg/m3,19.622816898,PM10,Station_GB0636A,2018.0
London,24.128977268892047,20.70140844667606,µg/m3,23.568450700281687,PM10,Station_GB0682A,2018.0
London,,,µg/m3,23.786619182761626,PM10,Station_GB0682A,2018.0
London,16.914062496937497,16.173374609597527,µg/m3,17.059133123839008,PM10,Station_GB0566A,2018.0
London,10.759025784154728,12.390804594281612,µg/m3,12.871839076465516,PM2.5,Station_GB0566A,2016.0
London,16.388019939886043,13.656898301327683,µg/m3,15.614730874815864,PM2.5,Station_GB0682A,2016.0
London,9.207418392908012,11.506306302882884,µg/m3,12.282934128203593,PM2.5,Station_GB0608A,2016.0
London,11.088571424730159,12.255864193734567,µg/m3,12.859752318575852,PM2.5,Station_GB0586A,2016.0
London,,,µg/m3,7.848701435251798,PM2.5,Station_GB0620A,2016.0
London,,,µg/m3,13.937866852974503,PM2.5,Station_GB0682A,2016.0
London,10.348688042915454,13.288011692543861,µg/m3,13.897947210733138,PM2.5,Station_GB0620A,2016.0
London,,,µg/m3,9.66784035876506,PM2.5,Station_GB0743A,2016.0
London,14.03087818388102,14.140960448559325,µg/m3,15.511363632869319,PM2.5,Station_GB0636A,2016.0
London,13.88461538,13.384615382051283,µg/m3,15.205128201794873,PM2.5,Station_GB0637A,2016.0
London,9.836363632848487,11.798791537250755,µg/m3,12.380664648821753,PM2.5,Station_GB0959A,2016.0
London,7.561609903839009,9.497846150953846,µg/m3,10.45882352622291,PM2.5,Station_GB1025A,2016.0
